"","long","lat","order","hole","piece","id","group","Town","Census.Tract.x","Total.Number.of.Cases","Total.Rate.per.10.000","Number.of.Female.Cases","Female.Rate.per.10.000","Number.of.Male.Cases","Male.Rate.per.10.000","Number.of.Cases...19.Years.Old","Rate.per.10.000....19.Years.Old","Number.of.Cases...20.Years.Old","Rate.per.10.000...20.Years.Old","point","total.respiratory"
"581",-72.91744498,41.26980238,171438,FALSE,"1","09009155000","09009155000.1","West Haven","55000",334,126.3,185,"136.1",149,"115.9",151,234.8,182,90.9,0.009493391335354,1.41783913472481
"582",-72.93120799,41.26206438,171549,FALSE,"1","09009155100","09009155100.1","West Haven","55100",168,99.1,126,"143.30000000000001",43,"52.7",50,159.5,118,85.4,0.009450843323877,1.39751709334891
"583",-73.00644901,41.24812938,171640,FALSE,"1","09009157100","09009157100.1","Orange","57100",42,32.3,26,"36",16,".",10,NA,32,31.3,0.00999063782347,1.57762012233792
"584",-73.03985002,41.28595738,171953,FALSE,"1","09009157200","09009157200.1","Orange","57200",40,20.9,22,"22.5",18,".",16,NA,24,16.9,0.010427131894188,1.59978244810712
"585",-73.07545203,41.28575738,172172,FALSE,"1","09009157300","09009157300.1","Orange","57300",62,37.5,35,"42.2",28,"33.9",17,NA,46,37.6,0.01018094677023,1.51915154285736
"586",-72.986945,41.28728539,172414,FALSE,"1","09009157400","09009157400.1","Orange","57400",52,24.7,26,"24.3",25,"24.2",23,42.8,29,18.5,0.010106836901086,1.41073373343592
"587",-73.00069801,41.31263139,172709,FALSE,"1","09009160100","09009160100.1","Woodbridge","60100",29,16.9,12,".",17,".",14,NA,15,NA,0.007856404880252,1.36146439422933
"588",-73.04889003,41.3841384,173000,FALSE,"1","09009160200","09009160200.1","Woodbridge","60200",57,20.6,37,"26.1",18,".",14,NA,43,20.7,0.00713237942795,1.45388019914543
"589",-72.939837,41.41054941,173418,FALSE,"1","09009161100","09009161100.1","Bethany","61100",42,15.1,29,"21.1",13,".",15,NA,27,13.2,0.008047986088796,1.37383208008814
"590",-72.89609098,41.3598254,173682,FALSE,"1","09009165100","09009165100.1","Hamden","65100",113,57.5,66,"63.2",46,"50",49,100.8,64,43.3,0.019828138839665,1.94379248960971
"591",-72.89609098,41.3598254,173930,FALSE,"1","09009165200","09009165200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012277883925892,1.72109439342188
"592",-72.90971898,41.3593024,174195,FALSE,"1","09009165300","09009165300.1","Hamden","65300",27,23.6,15,".",12,".",20,77.1,7,NA,0.010265953604399,1.96722833736121
"593",-72.91289998,41.3408124,174384,FALSE,"1","09009165400","09009165400.1","Hamden","65400",165,64.6,121,"84.7",45,"39.9",56,109,110,53.9,0.012998678191807,1.83766434556149
"594",-72.93791399,41.3356294,174558,FALSE,"1","09009165500","09009165500.1","Hamden","65500",369,148.8,211,"159.5",157,"135.80000000000001",176,221.2,192,114,0.009227995374156,2.09502517412539
"595",-72.92841399,41.3511574,174693,FALSE,"1","09009165600","09009165600.1","Hamden","65600",259,93,159,"108.6",100,"75.7",148,194,111,54.9,0.009927239935726,1.90314514138574
"596",-72.953641,41.3472234,174832,FALSE,"1","09009165700","09009165700.1","Hamden","65700",192,83.7,106,"86.3",87,"81.7",91,162.7,102,58.8,0.007601429372895,1.73422192462682
"597",-72.91457699,41.37408341,175025,FALSE,"1","09009165801","09009165801.1","Hamden","65801",178,65.5,103,"69.2",75,"61",69,147.3,108,48,0.008717715873663,1.67447376127014
"598",-72.942616,41.40219641,175201,FALSE,"1","09009165802","09009165802.1","Hamden","65802",117,57.3,66,"61.9",50,"51.2",66,131.3,50,32.5,0.007979362558225,1.51160469235687
"599",-72.940411,41.40782441,175441,FALSE,"1","09009165900","09009165900.1","Hamden","65900",99,25.1,46,"22.3",53,"28.2",41,48,58,18.7,0.007701363834401,1.3806568231589
"600",-72.91596499,41.3710194,175703,FALSE,"1","09009166001","09009166001.1","Hamden","66001",72,20.9,41,"21.8",31,"19.899999999999999",30,53.1,42,14.6,0.009004455897839,1.64593613660567
"601",-72.90475599,41.41985941,175890,FALSE,"1","09009166002","09009166002.1","Hamden","66002",70,18.1,22,"9.9",49,"29.8",38,27.1,33,13.4,0.008763229975982,1.51760603217168
"602",-72.87798398,41.42427642,176336,FALSE,"1","09009167100","09009167100.1","North Haven","67100",85,22,49,"24.4",36,"19.399999999999999",39,43.9,47,15.8,0.010167321707213,1.77014369231654
"603",-72.83737696,41.39208541,177026,FALSE,"1","09009167201","09009167201.1","North Haven","67201",93,44.5,57,"52.3",36,"36",40,90.2,53,32.2,0.012641846282914,1.54587706526009
"604",-72.82710796,41.40972841,177409,FALSE,"1","09009167202","09009167202.1","North Haven","67202",67,29.9,36,"30.6",31,"29.1",31,69.2,36,20.1,0.015764520260428,1.64828725580078
"605",-72.81734696,41.38548441,177950,FALSE,"1","09009167300","09009167300.1","North Haven","67300",94,24.5,62,"31.2",32,"17.2",25,26.5,70,24.1,0.011958308585787,1.50800741690614
"606",-72.79364296,41.54396544,178182,FALSE,"1","09009170100","09009170100.1","Meriden","70100",212,209.7,108,"205.7",105,"216.1",103,251.5,109,181.2,0.008654492210132,2.07892637535415
"607",-72.80237396,41.54601844,178251,FALSE,"1","09009170200","09009170200.1","Meriden","70200",278,222,151,"231.6",128,"213.2",62,184,216,235.9,0.008873599028534,2.10909387814382
"608",-72.81720196,41.53985144,178327,FALSE,"1","09009170300","09009170300.1","Meriden","70300",245,228.2,156,"297.39999999999998",89,"162.1",92,242.7,153,220.3,0.008187435794028,1.94717874326001
"609",-72.84427797,41.55247144,178430,FALSE,"1","09009170400","09009170400.1","Meriden","70400",89,101.9,49,"111.1",40,"92.5",59,261.1,30,46.3,0.006881869548709,1.62436997121281
"610",-72.85219998,41.54563244,178622,FALSE,"1","09009170500","09009170500.1","Meriden","70500",165,57.1,87,"58.2",77,"55.2",63,90.7,102,46.5,0.007452963688546,1.68655498213812
"611",-72.83601197,41.53534444,178984,FALSE,"1","09009170600","09009170600.1","Meriden","70600",105,83.4,53,"79.599999999999994",52,"87.7",34,108.6,70,74,0.007037282210692,1.8287838097307
"612",-72.81833096,41.53664844,179263,FALSE,"1","09009170700","09009170700.1","Meriden","70700",224,172.4,97,"150.19999999999999",126,"193",60,164.2,163,174.6,0.008225934867085,2.02430338793194
"613",-72.80706196,41.51397044,179392,FALSE,"1","09009170800","09009170800.1","Meriden","70800",401,139.7,245,"163.80000000000001",156,"113.5",183,251.6,218,101.7,0.008784311731372,1.89580305285503
"614",-72.80958896,41.52442744,179639,FALSE,"1","09009170900","09009170900.1","Meriden","70900",155,154.5,109,"205.1",46,"97.6",65,178.3,90,141,0.008981971213475,2.27433104232839
"615",-72.79118496,41.53352044,179748,FALSE,"1","09009171000","09009171000.1","Meriden","71000",255,272.9,152,"323.10000000000002",103,"222",65,238.5,191,288.5,0.008784637556053,2.17960161358869
"616",-72.78448995,41.52107944,179832,FALSE,"1","09009171100","09009171100.1","Meriden","71100",171,59.1,95,"63.8",76,"54.2",62,94.8,109,48.7,0.009017517560212,1.93146541520804
"617",-72.78332195,41.50011043,180005,FALSE,"1","09009171200","09009171200.1","Meriden","71200",161,40.2,102,"49",59,"30.6",44,52.5,116,36.6,0.008937159499654,1.83402056954775
"618",-72.78746995,41.53992744,180255,FALSE,"1","09009171300","09009171300.1","Meriden","71300",199,107.7,99,"103.7",100,"112.1",75,141.9,125,94.8,0.008427379333513,1.97628892804143
"619",-72.79013195,41.53321944,180411,FALSE,"1","09009171400","09009171400.1","Meriden","71400",159,149.4,103,"188",56,"108.5",56,166.9,103,141.4,0.008370899405203,2.39632381739157
"620",-72.78817196,41.55461644,180523,FALSE,"1","09009171500","09009171500.1","Meriden","71500",486,265.9,275,"290.5",211,"239.4",161,253.3,325,272.5,0.00842604431157,1.95993851112253
"621",-72.76973395,41.57714445,180621,FALSE,"1","09009171600","09009171600.1","Meriden","71600",302,125.6,178,"143.80000000000001",125,"107.2",126,229.9,176,94.8,0.008585667343314,1.77263958356513
"622",-72.77209795,41.56958745,180824,FALSE,"1","09009171700","09009171700.1","Meriden","71700",83,43.2,49,"48.7",34,"37.1",29,76.6,54,35,0.008045721812357,1.6863360997657
"623",-72.81373296,41.45515242,181049,FALSE,"1","09009175100","09009175100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017920582267818,1.81478625843365
"624",-72.82187796,41.44748642,181190,FALSE,"1","09009175200","09009175200.1","Wallingford","75200",39,33.7,21,"35.700000000000003",18,".",13,NA,26,29.6,0.026763562985019,1.88037321024836
"625",-72.81565696,41.44651442,181296,FALSE,"1","09009175300","09009175300.1","Wallingford","75300",98,45.3,52,"45.7",46,"44.8",35,66.9,63,38.4,0.036048153933213,1.81443308208225
"626",-72.81799596,41.49159043,181574,FALSE,"1","09009175400","09009175400.1","Wallingford","75400",97,43.8,66,"60.9",31,"27.4",46,87,51,30.2,0.02233753737048,1.67416815301255
"627",-72.87351098,41.46603842,182246,FALSE,"1","09009175500","09009175500.1","Wallingford","75500",119,30.1,72,"33.299999999999997",47,"26.2",46,62.1,73,22.7,0.018016021654334,1.54254163241367
"628",-72.85907197,41.48584143,182650,FALSE,"1","09009175600","09009175600.1","Wallingford","75600",48,19.2,26,"20",22,"18.3",16,NA,33,17.6,0.012758975446705,1.58460612829921
"629",-72.81795896,41.49163443,182922,FALSE,"1","09009175700","09009175700.1","Wallingford","75700",29,23.2,16,".",13,".",13,NA,16,NA,0.009736667541236,1.60241863258427
"630",-72.79046195,41.50257843,183119,FALSE,"1","09009175800","09009175800.1","Wallingford","75800",50,24.9,30,"29.4",20,"20.2",20,37.7,30,20.3,0.010017391232929,1.63835968177334
"631",-72.78299695,41.45473043,183463,FALSE,"1","09009175900","09009175900.1","Wallingford","75900",86,34.1,50,"38",37,"30.7",38,77.6,48,23.6,0.017406729016728,1.77815722972459
"632",-72.74614193,41.42330542,183710,FALSE,"1","09009176000","09009176000.1","Wallingford","76000",92,29,35,"21.3",56,"36.6",46,61.1,46,19,0.012823409102223,1.40481862035962
"633",-72.85954296,41.24656238,184030,FALSE,"1","09009180100","09009180100.1","East Haven","80100",252,74,145,"80.8",106,"65.8",79,128.8,173,62,0.015384954693061,1.43473904147912
"634",-72.87346497,41.26943139,184331,FALSE,"1","09009180200","09009180200.1","East Haven","80200",482,173.9,332,"235.7",149,"109.2",134,223.3,348,160.2,0.016241648066262,1.70990132649966
"635",-72.86265996,41.27319139,184468,FALSE,"1","09009180300","09009180300.1","East Haven","80300",51,40.1,26,"37.4",26,"45",22,69.8,29,30.3,0.016550093431554,1.81940056239786
"636",-72.88638797,41.28831639,184757,FALSE,"1","09009180400","09009180400.1","East Haven","80400",92,68.4,63,"88.7",29,"45.7",49,158.3,43,41.5,0.015313869474871,1.71688399822311
"637",-72.84885296,41.3127694,184905,FALSE,"1","09009180500","09009180500.1","East Haven","80500",77,32.8,18,".",59,"52.7",33,58.7,43,24.1,0.010063668511879,1.66861226752269
"638",-72.82263095,41.3228904,185129,FALSE,"1","09009180601","09009180601.1","East Haven","80601",96,60.9,57,"69.400000000000006",39,"51.7",22,63.7,75,61,0.009510702425091,1.67245539659062
"639",-72.83521596,41.3410604,185299,FALSE,"1","09009180602","09009180602.1","East Haven","80602",26,13.6,16,".",10,".",14,NA,12,NA,0.01059642963135,1.48858589107697
"640",-72.82161695,41.28297039,185515,FALSE,"1","09009184100","09009184100.1","Branford","84100",104,40.9,53,"39.200000000000003",52,"43.8",40,85.5,65,31.4,0.012691946172341,1.83777700793307
"641",-72.86103296,41.26662139,185853,FALSE,"1","09009184200","09009184200.1","Branford","84200",79,38.9,49,"46.1",30,"30.9",28,71.3,52,31.7,0.017260985124027,1.76463527871975
"642",-72.83259095,41.24913938,186200,FALSE,"1","09009184300","09009184300.1","Branford","84300",75,35.1,41,"34.6",34,"35.6",21,63.7,54,29.8,0.016238322363787,1.44808461103335
