"","long","lat","order","hole","piece","id","group","Town","Census.Tract.x","Total.Number.of.Cases","Total.Rate.per.10.000","Number.of.Female.Cases","Female.Rate.per.10.000","Number.of.Male.Cases","Male.Rate.per.10.000","Number.of.Cases...19.Years.Old","Rate.per.10.000....19.Years.Old","Number.of.Cases...20.Years.Old","Rate.per.10.000...20.Years.Old","point","total.respiratory"
"690",-73.01727503,41.53677943,203611,FALSE,"1","09009351400","09009351400.1","Waterbury","51400",560,257.4,307,"272",254,"242.5",244,321.3,316,223.1,0.059274308164062,1.70814338396784
"691",-73.03850304,41.53183043,203782,FALSE,"1","09009351500","09009351500.1","Waterbury","51500",306,124.5,154,"124.2",152,"124.8",109,160.2,197,110.9,0.028374253983979,1.64302360035034
"692",-73.04999604,41.53154043,203975,FALSE,"1","09009351601","09009351601.1","Waterbury","51601",203,123.7,121,"142.9",82,"103.3",83,192.1,120,99.3,0.021365624647751,1.53748974279721
"693",-73.05002304,41.53203443,204196,FALSE,"1","09009351602","09009351602.1","Waterbury","51602",207,66.6,126,"76.400000000000006",82,"56.1",84,131.9,123,49.7,0.01146972435324,1.42517703496317
"694",-73.04506904,41.54772243,204510,FALSE,"1","09009351700","09009351700.1","Waterbury","51700",412,303.3,232,"329.3",180,"275.2",186,397.4,226,253.8,0.078879531917126,1.55680498885453
"695",-73.08816005,41.54120743,204603,FALSE,"1","09009351800","09009351800.1","Waterbury","51800",222,104.4,129,"118.1",92,"89",81,181,141,84,0.011669851259595,1.41709543916311
"696",-73.08096105,41.52716043,204859,FALSE,"1","09009351900","09009351900.1","Waterbury","51900",89,72.5,56,"86.8",33,"56.6",30,94.3,59,64.8,0.02049017783679,1.36804179914559
"697",-73.06045204,41.55803744,205324,FALSE,"1","09009352000","09009352000.1","Waterbury","52000",153,62.2,95,"74.099999999999994",58,"49.2",60,98.3,92,49.7,0.010313117785322,1.37292718259148
"698",-73.08911405,41.57566244,205627,FALSE,"1","09009352100","09009352100.1","Waterbury","52100",239,112.4,132,"116.5",108,"108.7",85,149.1,154,98.9,0.009482052242836,1.3345369796105
"699",-73.05839004,41.58863344,205830,FALSE,"1","09009352200","09009352200.1","Waterbury","52200",498,370.4,337,"438.5",161,"279.5",245,393.9,252,348.8,0.011155667951804,1.28772605334206
"700",-73.03995204,41.59142244,205991,FALSE,"1","09009352300","09009352300.1","Waterbury","52300",277,196.8,153,"208.9",124,"183.7",85,206.8,192,192.7,0.012775559607413,1.4334154211132
"701",-73.03555204,41.61320545,206503,FALSE,"1","09009352400","09009352400.1","Waterbury","52400",220,128,124,"135.69999999999999",96,"119.3",116,216.4,104,88,0.010456252167583,1.23364447555069
"702",-73.03994604,41.59127644,206629,FALSE,"1","09009352500","09009352500.1","Waterbury","52500",177,129.6,115,"158.19999999999999",62,"97.1",63,205.9,114,107.6,0.010210546359608,1.18398582642734
"703",-72.97716202,41.55334044,206826,FALSE,"1","09009352600","09009352600.1","Waterbury","52600",282,104.5,155,"108.7",127,"99.9",135,207.5,147,71.8,0.008850533062091,1.5046327030929
"704",-72.99446902,41.54209944,207082,FALSE,"1","09009352701","09009352701.1","Waterbury","52701",166,98.1,96,"102.7",70,"92.4",58,150.3,108,82.6,0.008725905158903,1.55975768602587
"705",-72.99168302,41.54311044,207358,FALSE,"1","09009352702","09009352702.1","Waterbury","52702",321,109.7,166,"107.7",155,"112",100,148.4,222,98.6,0.009025558648238,1.45894911807858
"706",-73.02167603,41.53176743,207619,FALSE,"1","09009352800","09009352800.1","Waterbury","52800",482,147.3,280,"160.6",201,"131.5",200,214.1,282,120.6,0.00940790981218,1.59289200426197
"707",-72.94290501,41.56997544,207881,FALSE,"1","09009361100","09009361100.1","Wolcott","61100",113,34.8,64,"38",49,"31.3",50,59.7,63,26.1,0.008109602308555,1.31512565610638
"708",-73.00367603,41.57552044,208244,FALSE,"1","09009361200","09009361200.1","Wolcott","61200",91,33,52,"36",39,"29.6",32,46.1,59,28.5,0.008182470023176,1.18641223420814
"709",-72.98754202,41.60498445,208551,FALSE,"1","09009361300","09009361300.1","Wolcott","61300",70,30.1,38,"32.4",32,"27.8",26,40.8,44,26.1,0.007582222330713,1.11708055722816
"710",-72.93140199,41.31205839,208895,FALSE,"1","09009361401","09009361401.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022796157125256,4.54634120117787
"711",-72.92999899,41.31067239,208970,FALSE,"1","09009361402","09009361402.1","New Haven","61402",54,32.1,37,"45",18,".",6,NA,48,41.5,0.012889802577954,3.76141131868135
"712",-72.962078,41.29223039,209051,FALSE,"1","09009361500","09009361500.1","West Haven","61500",516,135.7,329,"166.7",188,"102.8",211,157.1,305,124,0.010541790709611,1.67840619920271
"713",-72.6600529,41.26414539,209340,FALSE,"1","09009990000","09009990000.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",-72.32843279,41.35654142,209702,FALSE,"1","09011650100","09011650100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00829333529077,0.78456552644566
"715",-72.32900079,41.27967441,210156,FALSE,"1","09011660101","09011660101.1","Old Lyme","60101",48,28.6,40,"46.5",9,".",17,NA,31,23.4,0.006308252990505,0.84043867383849
"716",-72.24834277,41.29734041,210920,FALSE,"1","09011660102","09011660102.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008164316599607,0.823871908594652
"717",-72.12837873,41.36336443,211562,FALSE,"1","09011690300","09011690300.1","New London","90300",620,197.5,347,"211.8",272,"181.2",271,293.6,349,157.4,0.012729139854834,1.59683074062437
"718",-72.10650672,41.34902143,211779,FALSE,"1","09011690400","09011690400.1","New London","90400",435,423.4,123,"247.2",312,"588.70000000000005",62,188.5,373,534,0.016363034405854,1.94422461578208
"719",-72.09927472,41.35840143,211895,FALSE,"1","09011690500","09011690500.1","New London","90500",407,287.9,228,"346.5",179,"236.9",85,344.1,322,276,0.017594873252443,1.80230489902999
"720",-72.10250072,41.33580542,212105,FALSE,"1","09011690700","09011690700.1","New London","90700",156,240.9,75,"244.3",80,"235",53,315.5,102,212.7,0.015754671869122,1.3855714443637
"721",-72.10986872,41.34694243,212200,FALSE,"1","09011690800","09011690800.1","New London","90800",296,177,187,"211.7",109,"138.19999999999999",107,242.4,190,154.4,0.014944077096929,1.82161666763118
"722",-72.08200271,41.31723242,212317,FALSE,"1","09011690900","09011690900.1","New London","90900",241,93.5,143,"108.9",97,"76.7",62,122.7,179,86.4,0.01372473776374,1.13928806074678
"723",-72.18091875,41.37247043,212433,FALSE,"1","09011693300","09011693300.1","Waterford","93300",135,46.9,77,"51",58,"42.4",42,70,93,40.9,0.005020468076491,0.884024683967581
"724",-72.12577073,41.37131743,212839,FALSE,"1","09011693400","09011693400.1","Waterford","93400",156,76.1,94,"87",61,"62.9",54,126,102,62.9,0.008342961531464,1.08053628485678
"725",-72.10221072,41.30484242,213202,FALSE,"1","09011693500","09011693500.1","Waterford","93500",77,43.7,47,"52.1",30,"34.799999999999997",20,48.1,58,43,0.010067027637188,0.859110160421623
"726",-72.10134972,41.42618044,213380,FALSE,"1","09011693600","09011693600.1","Waterford","93600",115,82,52,"74.8",61,"86.3",25,74,90,84.6,0.00875907334548,1.00972112183554
"727",-72.17333874,41.37025743,213648,FALSE,"1","09011693700","09011693700.1","Waterford","93700",143,85.8,98,"116.7",44,"53.2",43,95.9,99,81.3,0.005184640872389,0.944172625996108
"728",-72.11766573,41.44001044,214026,FALSE,"1","09011695201","09011695201.1","Montville","95201",193,73.3,112,"85.2",81,"61.5",49,80.9,144,71,0.003584144492849,0.853522698383276
"729",-72.21662677,41.48051945,215118,FALSE,"1","09011695202","09011695202.1","Montville","95202",231,74.5,109,"70",122,"79",82,98.9,149,65.6,0.005212942966303,0.844783541601956
"730",-72.04596872,41.58530947,216199,FALSE,"1","09011696100","09011696100.1","Norwich","96100",468,190.4,313,"244.9",155,"131.30000000000001",152,238.6,316,173.5,0.0082164457678,1.41748376602074
"731",-72.13521574,41.54494446,216611,FALSE,"1","09011696200","09011696200.1","Norwich","96200",278,115.5,161,"129.19999999999999",117,"100.9",67,136,212,110.8,0.005408134101032,1.00341313106914
"732",-72.08739973,41.54439046,217207,FALSE,"1","09011696300","09011696300.1","Norwich","96300",123,86.4,64,"85.2",59,"87.7",16,NA,107,95.4,0.005055740486966,1.05511315631565
"733",-72.05330071,41.53246446,217599,FALSE,"1","09011696400","09011696400.1","Norwich","96400",664,219.4,414,"266.2",243,"165.3",209,228.4,455,215.5,0.006282795108351,1.17724742990972
"734",-72.08995273,41.53392246,217961,FALSE,"1","09011696500","09011696500.1","Norwich","96500",187,119.3,126,"159.4",61,"78.599999999999994",48,133.7,139,115.1,0.004879980764293,1.33918436448256
"735",-72.10464473,41.51181846,218365,FALSE,"1","09011696600","09011696600.1","Norwich","96600",191,93.8,114,"107.1",77,"79.2",74,142.2,117,77.2,0.004604381357811,1.3386511349241
"736",-72.09010673,41.53397846,218758,FALSE,"1","09011696700","09011696700.1","Norwich","96700",654,221.1,391,"250.7",261,"186.7",254,321.5,400,184.5,0.00515079030854,1.34065580522585
"737",-72.06984372,41.53153846,219056,FALSE,"1","09011696800","09011696800.1","Norwich","96800",343,172.6,196,"205.9",148,"143",139,276.6,204,137.4,0.005343677309333,1.75238202983326
"738",-72.05756072,41.52901246,219212,FALSE,"1","09011697000","09011697000.1","Norwich","97000",238,99.8,129,"103.2",109,"96.2",94,174.7,143,77.5,0.006385933309724,1.18959070285818
"739",-71.97139369,41.48650446,219362,FALSE,"1","09011700100","09011700100.1","Preston","00100",171,72.4,100,"84.4",71,"60.3",49,93.6,122,66.3,0.006004001543566,0.875098999346724
"740",-72.04910771,41.44881645,219849,FALSE,"1","09011701100","09011701100.1","Ledyard","01100",346,90,215,"113.1",131,"67.400000000000006",99,98.5,247,87,0.006220570407468,0.789365915032775
"741",-72.04910771,41.44881645,220663,FALSE,"1","09011701200","09011701200.1","Ledyard","01200",322,87.6,219,"116.9",103,"57.1",64,64.1,258,96.3,0.022411188487046,0.904711192396662
"742",-72.0198277,41.39927544,221289,FALSE,"1","09011702100","09011702100.1","Groton","02100",233,103.7,152,"134.19999999999999",80,"71.8",72,135.1,161,93.9,0.008551114558499,0.95689272485662
"743",-72.06857871,41.36599443,221720,FALSE,"1","09011702300","09011702300.1","Groton","02300",117,108.2,70,"123.4",47,"91.4",33,96.5,84,113.6,0.007177728062152,1.25361444993048
"744",-72.06735671,41.34474043,221878,FALSE,"1","09011702400","09011702400.1","Groton","02400",192,108.9,98,"113.4",94,"104.5",59,155.9,134,96.8,0.01760956490019,1.63133607170168
"745",-72.05994071,41.32864142,222063,FALSE,"1","09011702500","09011702500.1","Groton","02500",798,336.1,519,"412.6",278,"249.1",326,439.7,472,289.1,0.024557210888679,1.32414617734987
"746",-72.0547267,41.31575942,222301,FALSE,"1","09011702600","09011702600.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018589754121383,1.14105160770724
"747",-72.0360867,41.35063943,222422,FALSE,"1","09011702700","09011702700.1","Groton","02700",242,97.9,166,"132.9",76,"62.1",47,122.4,196,93.8,0.029394250152046,1.23477994917891
"748",-72.01519069,41.32990042,222671,FALSE,"1","09011702800","09011702800.1","Groton","02800",358,175.5,227,"217",131,"131.9",92,165.8,266,179.2,0.015285840956088,0.974630957024316
"749",-71.99251568,41.33747943,223137,FALSE,"1","09011702900","09011702900.1","Groton","02900",49,39.6,32,"50.6",17,".",16,NA,33,32.1,0.024457070359261,0.926818380299425
"750",-71.99251568,41.33747943,223472,FALSE,"1","09011703000","09011703000.1","Groton","03000",116,59.2,57,"55.8",59,"62.9",32,81,84,53.7,0.00924011853421,1.45867811567691
"751",-71.87608365,41.36140444,223797,FALSE,"1","09011705101","09011705101.1","Stonington","05101",36,16.8,21,"19.7",15,".",8,NA,29,18.1,0.008233074508698,0.883849519634486
"752",-71.87338065,41.38135644,224107,FALSE,"1","09011705102","09011705102.1","Stonington","05102",46,21.2,31,"27.5",15,".",19,NA,28,17.3,0.007603805443798,0.958979430961512
"753",-71.87462265,41.36206544,224583,FALSE,"1","09011705200","09011705200.1","Stonington","05200",65,37.3,25,"27.4",40,"48.1",21,67.6,44,30.7,0.009555360328366,0.796493345915728
"754",-71.93755667,41.33795743,224977,FALSE,"1","09011705300","09011705300.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012059847127991,1.19927524231911
"755",-71.92345267,41.42842445,225219,FALSE,"1","09011705400","09011705400.1","Stonington","05400",34,23.6,20,"28.1",14,".",10,NA,24,21.8,0.010951959408984,0.88767179404056
"756",-71.90605866,41.42389245,225744,FALSE,"1","09011707100","09011707100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007773238528577,0.971885358197389
"757",-71.78779863,41.63583849,226202,FALSE,"1","09011708100","09011708100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009290164217819,0.808618280537457
"758",-71.88440067,41.64075749,226583,FALSE,"1","09011709100","09011709100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00811293572804,0.890200030714625
"759",-71.98290969,41.59000748,226956,FALSE,"1","09011709200","09011709200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006836905606281,1.07478563257913
"760",-72.04428772,41.59988448,227257,FALSE,"1","09011710100","09011710100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009143618784449,0.997451542499362
"761",-72.10883374,41.61905448,227948,FALSE,"1","09011711100","09011711100.1","Sprague","11100",179,120,125,"165",54,"73.5",55,137.5,124,113.6,0.007283782119092,0.917660947262847
"762",-72.11037974,41.62535948,228469,FALSE,"1","09011712100","09011712100.1","Franklin","12100",55,57.2,39,"83.2",16,".",18,NA,37,50.6,0.005859762776214,0.864331057835581
"763",-72.13388274,41.54639346,228683,FALSE,"1","09011713100","09011713100.1","Bozrah","13100",78,59.4,53,"81.5",25,"37.700000000000003",25,82.5,53,52.5,0.00558940499109,0.843861497265447
"764",-72.3131948,41.56403446,229156,FALSE,"1","09011714101","09011714101.1","Colchester","14101",133,77.6,95,"105.3",38,"46.8",37,91.6,96,73.3,0.012987084065934,1.20754750681814
"765",-72.3233728,41.53386046,229665,FALSE,"1","09011714103","09011714103.1","Colchester","14103",175,46.5,98,"52",77,"40.9",48,41.2,127,48.8,0.00943645314504,0.940833958128343
"766",-72.2919718,41.59770547,230242,FALSE,"1","09011714104","09011714104.1","Colchester","14104",133,52.1,82,"63.5",51,"40.4",39,53,93,51.2,0.008469758810017,0.909783853542451
"767",-72.21662677,41.48051945,231084,FALSE,"1","09011715100","09011715100.1","Salem","15100",84,40.5,41,"39.9",43,"41",23,40.1,61,40.6,0.005855731306726,0.80456037047331
"768",-72.20542375,41.32672442,231336,FALSE,"1","09011716101","09011716101.1","East Lyme","16101",73,23.9,47,"28.8",26,"18.3",24,45.8,49,19.4,0.004364052474019,0.886682535137986
"769",-72.24787177,41.37041943,232227,FALSE,"1","09011716102","09011716102.1","East Lyme","16102",63,24.8,26,"20",37,"29.9",33,46.6,31,17,0.005292580653165,0.880119444069375
"770",-72.26750379,41.67369348,232816,FALSE,"1","09011870100","09011870100.1","Lebanon","70100",155,42.4,89,"49.3",66,"35.700000000000003",57,59.4,98,36.4,0.005803325254884,0.826937313578407
"771",-72.08102072,41.39503244,233661,FALSE,"1","09011870200","09011870200.1","Groton","70200",439,158,258,"186.5",182,"130.5",198,205.8,241,132.7,0.0101300083968,1.0511476101004
"772",-72.09926372,41.35835143,234017,FALSE,"1","09011870300","09011870300.1","New London","70300",458,137.5,301,"178.1",157,"95.7",164,147.1,294,132.7,0.00640853806436,1.92147391932434
"773",-72.09152673,41.49648246,234214,FALSE,"1","09011870501","09011870501.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006201951027283,1.01009729890724
"774",-72.11853273,41.43791744,234625,FALSE,"1","09011870502","09011870502.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006110482858044,0.968765898446061
"775",-72.20338575,41.33364342,234996,FALSE,"1","09011870701","09011870701.1","East Lyme","70701",54,50.1,21,"36.1",31,"62.5",18,NA,36,42.4,0.004800243322565,0.991635481061976
"776",-72.22566476,41.30204041,235341,FALSE,"1","09011870703","09011870703.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003836638612314,0.860604162554445
"777",-72.20537775,41.33428642,235717,FALSE,"1","09011870704","09011870704.1","East Lyme","70704",98,48.1,76,"69.900000000000006",21,"22.1",13,NA,85,51.3,0.004034572931514,0.936324781254981
"778",-72.08102072,41.39503244,236141,FALSE,"1","09011980000","09011980000.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007535227573815,0.881841521247383
"779",-71.90898866,41.32734043,236325,FALSE,"1","09011990100","09011990100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780",-72.41031583,41.60280447,236753,FALSE,"1","09013526101","09013526101.1","Hebron","26101",101,43.6,67,"57.6",34,"29.5",24,35.6,77,46.9,0.007278736495977,0.852009246202636
"781",-72.38119283,41.65613548,237336,FALSE,"1","09013526102","09013526102.1","Hebron","26102",80,31.7,38,"30.1",41,"32.4",33,42.6,47,26.8,0.006987878456395,0.904265106125006
"782",-72.42149985,41.73201749,237675,FALSE,"1","09013528100","09013528100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00979816042212,0.970995019299769
"783",-72.45393786,41.8015895,237899,FALSE,"1","09013529100","09013529100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007991538424584,1.07868244894006
"784",-72.44077286,41.86455352,238162,FALSE,"1","09013530100","09013530100.1","Vernon","30100",57,50.2,33,"55.8",25,"46",8,NA,49,54.9,0.00693476566415,1.39172575794706
"785",-72.44091886,41.86465652,238402,FALSE,"1","09013530200","09013530200.1","Vernon","30200",589,190.7,347,"217.2",242,"162.4",191,247.1,398,171.9,0.00691285660211,1.64041561472009
"786",-72.49161388,41.85094251,238683,FALSE,"1","09013530301","09013530301.1","Vernon","30301",209,75.6,151,"103.2",59,"45.3",93,151.6,116,53.9,0.00716109108241,1.53311686787848
"787",-72.50321188,41.83087651,238902,FALSE,"1","09013530302","09013530302.1","Vernon","30302",98,32.8,56,"36.299999999999997",43,"29.6",34,64.4,64,26,0.007288058885047,1.50296182391371
"788",-72.46463087,41.84403551,239175,FALSE,"1","09013530400","09013530400.1","Vernon","30400",90,55,70,"80.3",20,"26.1",21,65.8,69,52.4,0.006932266911971,1.47571962026097
"789",-72.47412987,41.8019805,239435,FALSE,"1","09013530500","09013530500.1","Vernon","30500",79,48.7,47,"55",31,"40.4",23,62.8,56,44.6,0.007305283975729,1.36480674407781
"790",-72.45074486,41.8019435,239712,FALSE,"1","09013530600","09013530600.1","Vernon","30600",29,21.5,18,".",11,".",13,NA,16,NA,0.006675145533997,1.1470353347391
"791",-72.42490385,41.85527451,240041,FALSE,"1","09013533101","09013533101.1","Tolland","33101",122,26.2,61,"25.8",61,"26.6",61,43.7,61,18.7,0.007565441885164,1.07614438075728
"792",-72.42511085,41.85483851,240445,FALSE,"1","09013533102","09013533102.1","Tolland","33102",79,27.6,51,"35.799999999999997",28,"19.399999999999999",32,42.2,47,22.3,0.0075271462182,1.06082146558761
"793",-72.45587687,41.90599252,240923,FALSE,"1","09013535100","09013535100.1","Ellington","35100",129,28.2,79,"34.1",50,"22.1",52,46.1,78,22.6,0.007096071130041,1.21568978095286
"794",-72.45872787,41.90127452,241239,FALSE,"1","09013535200","09013535200.1","Ellington","35200",116,36,64,"39",52,"32.9",46,51.3,69,29.7,0.006972346742044,1.1181417326847
"795",-72.49197689,42.01809254,241693,FALSE,"1","09013538100","09013538100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004554348137821,1.24415650903817
"796",-72.44681487,41.95382353,241741,FALSE,"1","09013538201","09013538201.1","Somers","38201",59,22.8,33,"25.2",27,"21.2",16,NA,44,23.1,0.008700932031704,1.33148249510383
"797",-72.40674685,41.95717253,242157,FALSE,"1","09013538202","09013538202.1","Somers","38202",69,35,53,"54",16,".",17,NA,52,35.3,0.008172188816411,1.13873439773356
"798",-72.2366828,41.95689154,242530,FALSE,"1","09013840100","09013840100.1","Willington","40100",71,23.5,41,"27.7",30,"19.5",24,39,47,19.5,0.007533804711071,1.06203713218668
"799",-72.32082882,41.83653951,243178,FALSE,"1","09013850100","09013850100.1","Coventry","50100",101,36.7,51,"36.799999999999997",51,"37.299999999999997",58,81.2,43,21.1,0.008063588581772,1.01466115191227
"800",-72.24659679,41.72290949,243795,FALSE,"1","09013850200","09013850200.1","Coventry","50200",131,37.8,73,"43.4",58,"32.6",48,55.7,83,31.9,0.007416235375646,0.911995938165728
"801",-72.26712379,41.67800548,244824,FALSE,"1","09013860100","09013860100.1","Columbia","60100",71,25.9,49,"34.799999999999997",22,"16.5",23,35.8,48,22.9,0.007210106155949,0.921105940638196
"802",-72.21695378,41.7566795,245797,FALSE,"1","09013881100","09013881100.1","Mansfield","81100",51,24.8,24,"23.2",27,"26.3",25,55.7,25,15.5,0.008264669993596,0.88133779625297
"803",-72.2585788,41.80356551,246658,FALSE,"1","09013881200","09013881200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011062707030793,1.29872022956387
"804",-72.2581108,41.80825351,247139,FALSE,"1","09013881300","09013881300.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008140207183225,0.954809607001094
"805",-72.21737278,41.7574765,247905,FALSE,"1","09013881500","09013881500.1","Mansfield","81500",99,33.3,40,"26.2",59,"40.799999999999997",51,65.3,49,22.4,0.007787799541334,0.966993706466353
"806",-72.32190483,41.95371754,248968,FALSE,"1","09013890100","09013890100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010915093988043,1.07309878679198
"807",-72.27732181,41.99434455,249478,FALSE,"1","09013890201","09013890201.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008218637766171,0.920646082635354
"808",-72.32154283,41.95374454,250251,FALSE,"1","09013890202","09013890202.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006938002349046,0.996157659182007
"809",-72.25085679,41.7282075,250953,FALSE,"1","09015800300","09015800300.1","Windham","00300",419,130.3,232,"138.69999999999999",187,"121.3",101,84.3,317,157.1,0.008549398914374,1.29081761684939
"810",-72.18605777,41.69691349,251193,FALSE,"1","09015800400","09015800400.1","Windham","00400",204,101,119,"116.8",85,"84.9",73,137.9,131,87.9,0.008829231021419,1.14177747424466
"811",-72.18511177,41.67532049,251570,FALSE,"1","09015800500","09015800500.1","Windham","00500",337,96.2,185,"99.7",152,"92.3",111,136.5,227,84.4,0.00750873158427,0.933456908280197
"812",-72.21112478,41.71564749,252294,FALSE,"1","09015800600","09015800600.1","Windham","00600",476,216.7,233,"219.6",243,"213.9",135,188.7,341,230.2,0.008508090210696,1.55909656498926
"813",-72.21060078,41.71555449,252592,FALSE,"1","09015800700","09015800700.1","Windham","00700",249,146.6,160,"184.9",89,"106.8",87,211.4,163,126.7,0.006875511856093,1.222333541535
"814",-72.15836376,41.77018951,252784,FALSE,"1","09015815000","09015815000.1","Chaplin","15000",60,52.1,40,"71.400000000000006",20,"33.799999999999997",23,90.9,37,41.1,0.007824800949102,0.829568036750085
"815",-72.09405774,41.79902851,252981,FALSE,"1","09015820000","09015820000.1","Hampton","20000",48,51.5,22,"48.4",26,"54.6",20,99,28,38.4,0.009151126249085,0.800346607327946
"816",-72.05531173,41.7085215,253180,FALSE,"1","09015825000","09015825000.1","Scotland","25000",15,NA,9,".",6,".",9,NA,6,NA,0.010810713637736,0.85820027633561
"817",-72.12653976,41.90101053,253390,FALSE,"1","09015830100","09015830100.1","Ashford","30100",90,41.7,41,"37.5",49,"46",33,62.9,57,34.9,0.008281969887652,0.876993780294102
"818",-71.85335468,42.02407456,253906,FALSE,"1","09015900100","09015900100.1","Thompson","00100",58,25.4,20,"17.399999999999999",38,"33.5",34,63.9,23,13.1,0.016185339970662,0.901176989372276
"819",-71.9288567,42.02532856,254285,FALSE,"1","09015900200","09015900200.1","Thompson","00200",126,51.6,72,"59.3",54,"43.9",36,58.8,90,49.1,0.010551492649821,0.89209444518066
"820",-71.9469617,41.97944355,254639,FALSE,"1","09015901100","09015901100.1","Woodstock","01100",118,29.6,65,"32.299999999999997",53,"26.9",57,56.8,61,20.5,0.009992698587923,0.874376519414685
"821",-72.12653976,41.90101053,255028,FALSE,"1","09015902200","09015902200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00924950279969,0.784381912458257
"822",-71.9473847,41.82688852,255584,FALSE,"1","09015902500","09015902500.1","Pomfret","02500",78,36.7,41,"38.1",37,"35.299999999999997",31,53.4,47,30.5,0.008240835497296,0.809611814165282
"823",-71.91189369,41.91500054,256083,FALSE,"1","09015903100","09015903100.1","Putnam","03100",322,89,182,"98.6",139,"78.400000000000006",137,143.8,185,69.4,0.012308585464592,1.21265205237872
"824",-71.9330047,41.90994154,256467,FALSE,"1","09015903200","09015903200.1","Putnam","03200",24,20.5,9,".",15,".",9,NA,15,NA,0.015026068276351,0.888759762576571
"825",-71.83248666,41.76959052,257085,FALSE,"1","09015904100","09015904100.1","Killingly","04100",199,53.3,99,"53.5",99,"52.6",79,87.7,120,42.4,0.01441720180087,0.90898975449927
"826",-71.90760768,41.81970052,257634,FALSE,"1","09015904400","09015904400.1","Killingly","04400",193,94.5,122,"114.2",71,"72.900000000000006",67,130.4,126,82.4,0.010920383738058,1.03061260518137
"827",-71.88974168,41.79129452,258161,FALSE,"1","09015904500","09015904500.1","Killingly","04500",326,112.1,213,"144",113,"79",135,185.6,192,88,0.00859101621657,1.12215215129339
"828",-71.90618168,41.82682553,258564,FALSE,"1","09015905100","09015905100.1","Brooklyn","05100",209,50.9,132,"65.8",77,"36.700000000000003",69,69.9,140,44.9,0.008682361096616,0.903635927918787
"829",-71.91394368,41.74233851,258984,FALSE,"1","09015906100","09015906100.1","Canterbury","06100",125,48.7,79,"62",45,"34.799999999999997",64,102.2,61,31.5,0.008746570216125,0.86225155928856
"830",-71.92373868,41.73411451,259419,FALSE,"1","09015907100","09015907100.1","Plainfield","07100",79,35.8,39,"34.5",40,"37.200000000000003",32,54.2,47,29.1,0.00856064842116,1.076024984125
"831",-71.90669768,41.6841715,259951,FALSE,"1","09015907200","09015907200.1","Plainfield","07200",248,90.1,148,"107.8",98,"71",111,148.4,137,68.3,0.008658255392995,1.12026834205333
"832",-71.95045269,41.67498249,260376,FALSE,"1","09015907300","09015907300.1","Plainfield","07300",278,101.4,167,"117.3",111,"84.2",84,118.9,195,95.8,0.008033320755895,0.95356668713861
"833",-71.78970964,41.72670051,260857,FALSE,"1","09015908100","09015908100.1","Sterling","08100",53,27.7,32,"34.5",21,"21.3",12,NA,41,29.7,0.010418385356456,0.799026431679862
